,ann_return,ann_vol,sharpe,sortino,calmar,max_drawdown,var_5,es_5,avg_turnover,info_ratio
US Aggregate (VBMFX),0.0426,0.0416,0.4284,0.4132,0.2418,-0.1761,-0.0168,-0.0255,0.0,
Equal-Weight (1/N),0.0465,0.0549,0.4032,0.3982,0.2197,-0.2119,-0.0233,-0.034,0.007,0.2199
Treasury Ladder (govt only),0.0408,0.0573,0.2934,0.3062,0.1582,-0.258,-0.0253,-0.0332,0.0049,-0.0368
Credit Tilt,0.0538,0.0618,0.4762,0.4633,0.2349,-0.229,-0.0251,-0.0383,0.0065,0.4199
Domestic 1/N (no global),0.0489,0.0544,0.4487,0.4449,0.2425,-0.2018,-0.0225,-0.0328,0.0068,0.3642
Inverse-Vol,0.0441,0.0454,0.4274,0.4245,0.2623,-0.1683,-0.0184,-0.0277,0.0071,0.1167
ERC (Risk Parity),0.0441,0.0454,0.4274,0.4245,0.2623,-0.1683,-0.0184,-0.0277,0.0071,0.1167
Min-Variance,0.0356,0.021,0.5076,0.5019,0.4863,-0.0732,-0.0069,-0.0113,0.0098,-0.2811
Max-Sharpe (MVO),0.0398,0.0261,0.5653,0.5516,0.5103,-0.078,-0.0086,-0.0144,0.0157,-0.124
Regime ERC,0.045,0.0465,0.4353,0.434,0.2682,-0.1677,-0.0202,-0.028,0.0121,0.1684
Regime Credit De-risk,0.0417,0.0429,0.3945,0.3929,0.2462,-0.1692,-0.0175,-0.0258,0.0256,-0.0653
