regime,start,end,months
Goldilocks,1994-01-31,1995-06-30,18
Overheating,1995-07-31,1995-07-31,1
Goldilocks,1995-08-31,1996-01-31,6
Recession,1996-02-29,1996-04-30,3
Goldilocks,1996-05-31,1996-09-30,5
Overheating,1996-10-31,1997-04-30,7
Goldilocks,1997-05-31,1998-11-30,19
Recession,1998-12-31,1999-05-31,6
Goldilocks,1999-06-30,1999-10-31,5
Recession,1999-11-30,1999-12-31,2
Goldilocks,2000-01-31,2000-02-29,2
Overheating,2000-03-31,2000-07-31,5
Stagflation,2000-08-31,2001-09-30,14
Recession,2001-10-31,2003-02-28,17
Stagflation,2003-03-31,2003-04-30,2
Recession,2003-05-31,2004-06-30,14
Stagflation,2004-07-31,2004-09-30,3
Recession,2004-10-31,2004-10-31,1
Stagflation,2004-11-30,2005-01-31,3
Overheating,2005-02-28,2005-09-30,8
Stagflation,2005-10-31,2006-10-31,13
Recession,2006-11-30,2007-11-30,13
Stagflation,2007-12-31,2008-12-31,13
Recession,2009-01-31,2010-04-30,16
Goldilocks,2010-05-31,2011-05-31,13
Overheating,2011-06-30,2011-06-30,1
Stagflation,2011-07-31,2011-10-31,4
Overheating,2011-11-30,2012-04-30,6
Goldilocks,2012-05-31,2012-09-30,5
Recession,2012-10-31,2014-05-31,20
Goldilocks,2014-06-30,2015-02-28,9
Recession,2015-03-31,2017-03-31,25
Stagflation,2017-04-30,2017-04-30,1
Recession,2017-05-31,2018-01-31,9
Goldilocks,2018-02-28,2018-05-31,4
Overheating,2018-06-30,2018-10-31,5
Goldilocks,2018-11-30,2019-01-31,3
Recession,2019-02-28,2021-04-30,27
Overheating,2021-05-31,2022-01-31,9
Stagflation,2022-02-28,2022-02-28,1
Overheating,2022-03-31,2022-05-31,3
Stagflation,2022-06-30,2024-10-31,29
Recession,2024-11-30,2024-11-30,1
Stagflation,2024-12-31,2025-04-30,5
Recession,2025-05-31,2025-07-31,3
Stagflation,2025-08-31,2026-01-31,6
Recession,2026-02-28,2026-03-31,2
Stagflation,2026-04-30,2026-05-31,2
